threshold,precision,recall,f1,false_positive_rate,false_negative_rate,cost_score
0.05,0.9764705882352941,0.9764705882352941,0.9764705882352941,0.0008281573498964803,0.023529411764705882,0.0076385336743393
0.1,0.9880952380952381,0.9764705882352941,0.9822485207100592,0.00041407867494824016,0.023529411764705882,0.007348678601875532
0.15,1.0,0.9764705882352941,0.9880952380952381,0.0,0.023529411764705882,0.007058823529411764
0.2,1.0,0.9764705882352941,0.9880952380952381,0.0,0.023529411764705882,0.007058823529411764
0.25,1.0,0.9764705882352941,0.9880952380952381,0.0,0.023529411764705882,0.007058823529411764
0.3,1.0,0.9764705882352941,0.9880952380952381,0.0,0.023529411764705882,0.007058823529411764
0.35,1.0,0.9764705882352941,0.9880952380952381,0.0,0.023529411764705882,0.007058823529411764
0.39999999999999997,1.0,0.9764705882352941,0.9880952380952381,0.0,0.023529411764705882,0.007058823529411764
0.44999999999999996,1.0,0.9764705882352941,0.9880952380952381,0.0,0.023529411764705882,0.007058823529411764
0.49999999999999994,1.0,0.9764705882352941,0.9880952380952381,0.0,0.023529411764705882,0.007058823529411764
0.5499999999999999,1.0,0.9764705882352941,0.9880952380952381,0.0,0.023529411764705882,0.007058823529411764
0.6,1.0,0.9764705882352941,0.9880952380952381,0.0,0.023529411764705882,0.007058823529411764
0.65,1.0,0.9764705882352941,0.9880952380952381,0.0,0.023529411764705882,0.007058823529411764
0.7,1.0,0.9764705882352941,0.9880952380952381,0.0,0.023529411764705882,0.007058823529411764
0.75,1.0,0.9764705882352941,0.9880952380952381,0.0,0.023529411764705882,0.007058823529411764
0.7999999999999999,1.0,0.9764705882352941,0.9880952380952381,0.0,0.023529411764705882,0.007058823529411764
0.85,1.0,0.9764705882352941,0.9880952380952381,0.0,0.023529411764705882,0.007058823529411764
0.9,1.0,0.9764705882352941,0.9880952380952381,0.0,0.023529411764705882,0.007058823529411764
0.95,1.0,0.9764705882352941,0.9880952380952381,0.0,0.023529411764705882,0.007058823529411764
